ShopID,ShopName,ShopCode,OwnerName,ContactPerson,Phone1,Phone2,Address,City,State,GPSLatitude,GPSLongitude,ShopDiscount,Trn
-L7yrq1VqHdeEMoWjfYk,Madeena Touch Catering Service,0001,,,,,,,,,,,12345678
-L7yrqKeZpQPrX3YEZ-t,Hath Bak Restaurant,0002,,,,,,,,,,,
-L7ys-RYdYvkj8BL0nzh,Towaissa Cafeteria,0003,,,,,,,,,,,
-L7ys6TuNf6rx_B5OV48,Rabua Al Madam,0004,,,,,,,,,,,
-L7ysC_3oBtwNggTgrq_,Al Jahra Classic,0005,,,,,,,,,,,
-L7ysIFUnDVlz2AmW20a,Shameem Restaurant,0006,,,,,,,,,,,
-L7ysN7apdXfMn2bIzA8,Mohammed Al Wadi,0007,,,,,,,,,,,
-L7ysSPfa_QbAC4_WAO6,Mahra Star,0008,,,,,,,,,,,
-L7ysc_xYQzAbMt1UcHl,Al Shamkha,0009,,,,,,,,,,,
-L7ysg30uh5YQQPvtyPP,Al Jahiz,0010,,,,,,,,,,,
-L7yskLB7gjdNp_BwM-z,Zenith Super market,0011,,,,,,,,,,,100235317300003
-L7yso0UOl_tb0n177-J,ONE TO ONE BAQALA,0012,,,,,,,,,,,100378926800003
-L7yssiGLn8omgMI0yxn,Shamkha Flower,0013,,,,,,,,,,,
-L7ysxdD_DT5TabH_K-m,Al Bidya,0014,,,,,,,,,,,
-L7yt-rMsRJqhxmYW99L,Bin kedda,0015,,,,,,,,,,,
-L7yt4P0MKYMPPfk4Rg2,Green Corner,0016,,,,,,,,,,,
-L7ytA4MUEvX3_0RS-cV,Noor Al Izdihar Supermarket,0017,,,,,,,,,,10,100360953200003
-L7ytWb1tG1u8IMRqVSl,New Nasrin Br-3,0018,,,,,,,,,,,
-L7yt_LImWcFdJ_sZSsw,New Nasrin Br-1,0019,,,,,,,,,,,
-L7ytdzP5kbwdkYRYVrF,Al Hubaiszy,0020,,,,,,,,,,,
-L7yth8dsM6Kk-YemPZp,Zahrath Al Falah,0021,,,,,,,,,,,
-L7ytm221vQt42LFPIOT,Al Falah Oasis,0022,,,,,,,,,,,
-L7ytrPXZEl-wv0uncvs,Khozam City,0023,,,,,,,,,,,
-L7ytvbdqhY3XtaeHw4t,Madina Al Shamkha,0024,,,,,,,,,,,
-L7ytzOB48lA7NW_eDRR,Happy House,0025,,,,,,,,,,,
-L7yu3MtFG9lbTesrY3y,Ain Al Shamkha,0026,,,,,,,,,,,
-L7yu9D0deHxzdUtfzzd,Star Of Shamha,0027,,,,,,,,,,,
-L7yuCgERwbu6pB1M3pV,Besto,0028,,,,,,,,,,,
-L7yuIwhinrm2gfGIQBt,Al Shawamikh Star,0029,,,,,,,,,,,
-L7yuMIkL0xqybpn-DBp,Dawnlight,0030,,,,,,,,,,,
-L7yuP5WSJOT5v9_mMJu,Bou Ali,0031,,,,,,,,,,,
-LIB_aoNFX2JtNbW6QLE,Al Raya Restaurant,0032,,,,,,,,,,,100319859300003
-LIGtKepMA6grOu4qx1k,Marhaba Grocery,0033,,,,,,,,,,,100319453500003
-LIGtlRhJLuHJoAD76A5,Future Oasis,0034,,,,,,,,,,,100355613900003
-LIGtzG72S4mFUm_1lCB,Jabeeb Grocery,0035,,,,,,,,,,,100389348200003
-LIGum0evshVTRh79fWj,Wadi Hafeet,0036,,,,,,,,,,,
-LIGuwXMQfQRKU6GY4mF,Al Arfeen Grocery,0037,,,,,,,,,,,100202145700003
-LIGwnqBA994u9fvs5GY,Matar Al Madeena ,0038,,,,,,,,,,15,1000098218000003
-LIGxgXZCiukc1y527Nm,Al Khifaya Grocery,0039,,,,,,,,,,,100394076200003
-LIGxxXjdELeoG_XOrzT,Mammal Dahreez,0040,,,,,,,,,,,100258586500003
-LIGyAHadkvKf2PXgyMt,Aud Al Tauba,0041,,,,,,,,,,,100058081900003
-LIGyJi92YU7WOn1RtGv,Yamam Al Ain,0042,,,,,,,,,,,100342732300003
-LIGyWeB8XYfmRtKcNj0,Ashraf Mousa Grocery,0043,,,,,,,,,,,100262008400003
-LIGye_tRtZATwhQ4RtX,Saeeda,0044,,,,,,,,,,,100343434500003
-LIGypOpgazIK56N0DBg,Reham Grocery,0045,,,,,,,,,,,100333302600003
-LIGyzN79CU7spU8Risl,Rokn Al Akder,0046,,,,,,,,,,,100301259600003
-LIGzkAAF0hvuQUBZqGT,Khorfakan Grocery,0047,,,,,,,,,,,100068269500003
-LIH5D_quGxOcPMSxUaJ,Mohammed Abdul Rahman Grocery,0048,,,,,,,,,,,100423796000003
-LIH5R3-CBXjaC-AoWII,Aysha Grocery,0049,,,,,,,,,,,100277147300003
-LIH7IrWaApuj2Muv0Jx,Nehma Store,0050,,,,,,,,,,,100258517600003
-LIH7YDRisNn2puArsAW,Mohmod,0051,,,,,,,,,,,100040818500003
-LIH82bWdsZlyfQQf8aX,Hafeet New Grocery,0052,,,,,,,,,,,1000388520800003
-LIH9ArTV5GZQFRPoeAj,Haneen Grocery,0053,,,,,,,,,,,100333806600003
-LIH9QperG0ZutZHGf-F,Saleh Fayez Al Rashid ,0054,,,,,,,,,,,100498463700003
-LIH9a3Qncs0nu9yyzF5,Shahad Al Khair,0055,,,,,,,,,,,100342942800003
-LIHF1rfbTWojwTd4Sc0,Omaniat Grocery,0056,,,,,,,,,,,100350213300003
-LIHFA-nEOyP-8hslgYG,Hamza Grocery,0057,,,,,,,,,,,100036144900003
-LIHFq5557sxgYffM7al,Al Ain Yagooth,0058,,,,,,,,,,,100038074900003
-LIHG5pw_gQFhaPBSN1Y,Khair bay hay,0059,,,,,,,,,,,100057455600003
-LIHGFRNgGD-xZdqjQdf,Amaq Al bahar,0060,,,,,,,,,,,100254238700003
-LIHGOMQIALgjMC3uxhH,Taj Al Khair,0061,,,,,,,,,,,100298168400003
-LIHG_VmRZ08mkTJadUp,Waha Al Madeena,0062,,,,,,,,,,,100352159600003
-LIHGkf5EzxwHyx4ecCB,Roudath Al Mazyad,0063,,,,,,,,,,,100360346900003
-LIHGv-U9ooJnRsdjFww,Al Taj Al Abidha,0064,,,,,,,,,,,100290259900003
-LIHH3yAT8QeZWgimoWc,Al Salalah Trading,0065,,,,,,,,,,10,100057446500003
-LIHHE9vQ5EPKp5ufIk0,Tafadal Foodstuff,0066,,,,,,,,,,,100287296600003
-LIHHOaSBD_NyIm63ZNk,Rigga Grocery,0067,,,,,,,,,,,100070144900003
-LIHH_arBiekho85QYhC,Al Shukr Grocery,0068,,,,,,,,,,,100359666300003
-LIHHhQ-MaF7cKER8fgV,Golden Pearl grocery,0069,,,,,,,,,,,100327878300003
-LIKLba_n5oDSraYnTzW,Al Warda Al Baida ,0070,,,,,,,,,,,100331497600003
-LIKLtwduPZ_HJA0gPy9,Al Mohandis Grocery,0071,,,,,,,,,,,100342983200003
-LIKM2ZuENcdTDEIp07T,Al Marwa Supermarket,0072,,,,,,,,,,,1000360387300003
-LIKMFgb-cBQNobqvZRd,Badiat Al Raee,0074,,,,,,,,,,,100360387300003
-LIKMYGkpKfQit37y4si,Nafeetha Grocery,0073,,,,,,,,,,,100218276200003
-LIKMjrBMZgQh7wIdJgF,Al Daher Star Restaurant,0075,,,,,,,,,,,100397481100003
-LIKMqdLgBMpCixjr-aN,Masafi Grocery,0076,,,,,,,,,,,100343919500003
-LIKN0TBT810-yG8e-NT,Safeenat Al Sahra,0077,,,,,,,,,,,100029002100003
-LIKN7P8FwYdlTcT4IWF,Zahrath Al mazyad,0078,,,,,,,,,,,100343647200003
-LIKNGDOtQqK8yXII0a5,Wadi Noor Supermarket,0079,,,,,,,,,,,100298168400003
-LIKNUiWihOyZI00TNH0,Wadi Mezyad Grocery,0080,,,,,,,,,,,100339088500003
-LIKNg6b89eU3pVM_CEn,Marfa Grocery,0081,,,,,,,,,,,10033720400003
-LIKNoIwKUxgLrjyN9-8,Al Mouda Grocery,0082,,,,,,,,,,,100394776700003
-LIKO-bSGBdbSE7P_yCJ,Al Mawedha Grocery,0083,,,,,,,,,,,100396826800003
-LIKOJno3_eO37rkcTRh,Shabab Al Ain Foodstuff,0084,,,,,,,,,,,100386577900003
-LIKOU4IiLUKhnRW7qfC,Hussain Grocery,0085,,,,,,,,,,,100255929000003
-LIKOc8oEQvLPgsdJ6hs,Sadaq Grocery,0086,,,,,,,,,,,100045616000003
-LIKOphZoaC0eBgVBjZl,Coral City,0087,,,,,,,,,,,100239951500003
-LIKP36Sdqe5Ug2SQWxe,Al Naser,0088,,,,,,,,,,,100240586600003
-LJdSCUuTGNR3Oeq8REy,ATLAS Cafteria,3,,,,,,,,,,,100244821300003
-LJdSefe7xaocLAjrNEu,Abu hamdan cafteria,88,,,,,,,,,,,100063494700003
-LJdSnZgVoYBmwuiKpd2,al ain al kadara resturant,89,,,,,,,,,,,100354548800003
-LJdSsyBoHFytqoBXMzA,Cash Costomer,90,,,,,,,,,,,non
-LMkce1poIkMtqs0XeFB,THE TRUST BAQALA,0001,,,,,,,,,,,10036053500003
-LMkdJaRnViL4D6UrfGV,RIMAL AL SANAIYA BAQALA,0003,,,,,,,,,,,100605981800003
-LMkdZrFxCzNtJPmxUV9,MEHNAS RAHMAN BAQALA,0003,,,,,,,,,,,100058390400003
-LMkdvUpltu2gCvJch6z,AHAMMED ALI RESTAURANT ,0004,,,,,,,,,,,100049346800003
-LMkfGumrdo7FC9ROGAU,NOOR AL KARAMA BAQALA,0005,,,,,,,,,,,100325441200003
-LMkfNvhXjaVH8TnxDTE,MANAHAL BAQALA,0006,,,,,,,,,,,100039644800003
-LMkfV96Zw7Qesd7Y7Lj,REEF AL MUZAN BAQALA,0007,,,,,,,,,,,100238330300003
-LMkfc9W6bcDjVemOmOX,ALI SALEM CAFTERIA,0008,,,,,,,,,,,
-LMkfjsRQ8PxBhr4lCXq,MODERN BAQALA,0009,,,,,,,,,,,100346209800003
-LMkfu_1CkBZyjrgELE6,AL ROKN AL THAHABI BAQALA,0010,,,,,,,Abu Dhabi,,,,100383321500003
-LMkg5bArcWKSgdumTyY,MASHAREF AL DEYAR BAQALA,0011,,,,,,,,,,,100024565200003
-LMkgDazc1UKQElsKR3N,AL RABIYA CAFTERIA,0012,,,,,,,,,,,100399486800003
-LMkgT-ysexiGQD7BSms,NAJOOM AL LAIL BAQALA,0013,,,,,,,,,,,104136103900003
-LMkgalqgKzoFuDKG-aD,ORO RESTAURANT ,0014,,,,,,,,,,,
-LMkgnLUd6hOmFf4E_WN,JABAL AL TALJ BAQALA,0015,,,,,,,,,,,100330836600003
-LMkjgV1XypJVj0iTq_I,SAIF AL ISLAM BAQALA,0016,,,,,,,,,,,100207338300003
-LMkjth7YMb5FeIitvGm,MUKKARRMAH SUPER MARKET,0017,,,,,,,,,,,100391399100003
-LMkk2Mhy3FIo-z_D5Ex,KHALIFA SULAIMAN BAQALA,0018,,,,,,,,,,,100004468300003
